content_id,title,channel,publish_date,views,clicks,utm_source,utm_medium,utm_campaign
CNT-00001,Youtube piece #1,youtube,2024-04-27,31060,679,youtube,video,cmp_018
CNT-00002,Twitter piece #2,twitter,2025-04-09,3875,31,twitter,social,
CNT-00003,Podcast piece #3,podcast,2024-07-01,10735,434,podcast,audio,cmp_023
CNT-00004,Twitter piece #4,twitter,2025-01-17,11835,563,twitter,social,
CNT-00005,Podcast piece #5,podcast,2024-01-01,6527,90,podcast,audio,
CNT-00006,Instagram piece #6,instagram,2024-09-02,13096,144,instagram,social,
CNT-00007,Youtube piece #7,youtube,2025-05-12,75062,2679,youtube,video,
CNT-00008,Podcast piece #8,podcast,2024-06-18,50,1,podcast,audio,cmp_023
CNT-00009,Podcast piece #9,podcast,2024-07-24,12904,553,podcast,audio,
CNT-00010,Newsletter piece #10,newsletter,2024-05-03,3286,68,,email,cmp_030
CNT-00011,Twitter piece #11,twitter,2024-08-13,23283,257,,social,cmp_017
CNT-00012,Youtube piece #12,youtube,2025-06-10,46913,955,youtube,video,cmp_011
CNT-00013,Blog piece #13,blog,2025-04-29,6179,180,blog,content,
CNT-00014,Instagram piece #14,instagram,2025-03-09,36925,1084,instagram,social,cmp_007
CNT-00015,Youtube piece #15,youtube,2025-02-16,38383,525,youtube,video,cmp_011
CNT-00016,Newsletter piece #16,newsletter,2024-07-06,50,1,newsletter,email,
CNT-00017,Newsletter piece #17,newsletter,2024-04-10,25349,1304,newsletter,email,
CNT-00018,Twitter piece #18,twitter,2024-06-19,20562,599,twitter,social,
CNT-00019,Youtube piece #19,youtube,2024-06-17,50,1,youtube,video,cmp_018
CNT-00020,Blog piece #20,blog,2025-05-13,13208,211,blog,content,
CNT-00021,Podcast piece #21,podcast,2024-03-03,14960,574,podcast,audio,
CNT-00022,Twitter piece #22,twitter,2024-02-28,9529,552,twitter,social,cmp_025
CNT-00023,Youtube piece #23,youtube,2024-08-28,50,1,youtube,video,cmp_004
CNT-00024,Newsletter piece #24,newsletter,2025-06-19,14503,354,newsletter,email,
CNT-00025,Instagram piece #25,instagram,2024-09-01,21315,885,instagram,social,
CNT-00026,Youtube piece #26,youtube,2024-01-10,59232,1885,youtube,video,
CNT-00027,Youtube piece #27,youtube,2024-08-06,30616,800,,video,cmp_012
CNT-00028,Twitter piece #28,twitter,2025-03-24,11858,608,twitter,social,
CNT-00029,Blog piece #29,blog,2025-06-25,12627,297,blog,content,
CNT-00030,Twitter piece #30,twitter,2024-09-27,12652,177,twitter,social,
CNT-00031,Instagram piece #31,instagram,2024-10-15,5399,100,instagram,social,cmp_013
CNT-00032,Instagram piece #32,instagram,2024-02-22,9151,117,instagram,social,cmp_007
CNT-00033,Instagram piece #33,instagram,2024-05-13,15299,712,instagram,social,cmp_007
CNT-00034,Youtube piece #34,youtube,2024-03-18,29030,1658,youtube,video,cmp_004
CNT-00035,Instagram piece #35,instagram,2024-05-31,18510,499,instagram,social,
CNT-00036,Youtube piece #36,youtube,2025-01-01,48370,915,youtube,video,cmp_021
CNT-00037,Newsletter piece #37,newsletter,2024-06-07,11151,183,newsletter,email,cmp_024
CNT-00038,Youtube piece #38,youtube,2024-07-02,36074,1670,youtube,video,
CNT-00039,Blog piece #39,blog,2024-09-11,5332,72,blog,content,
CNT-00040,Twitter piece #40,twitter,2024-07-23,24599,1241,twitter,social,cmp_015
CNT-00041,Twitter piece #41,twitter,2024-01-25,8111,182,,social,
CNT-00042,Instagram piece #42,instagram,2025-06-05,10761,309,instagram,social,cmp_007
CNT-00043,Youtube piece #43,youtube,2024-09-24,75025,1635,youtube,video,cmp_028
CNT-00044,Instagram piece #44,instagram,2025-03-22,52480,2074,instagram,social,cmp_022
CNT-00045,Twitter piece #45,twitter,2024-09-17,19408,679,twitter,social,
CNT-00046,Blog piece #46,blog,2024-07-20,7060,190,,content,
CNT-00047,Instagram piece #47,instagram,2024-11-17,18473,1012,instagram,social,
CNT-00048,Instagram piece #48,instagram,2025-02-16,16173,715,instagram,social,cmp_013
CNT-00049,Blog piece #49,blog,2024-06-27,3721,135,,content,cmp_014
CNT-00050,Podcast piece #50,podcast,2024-11-25,9945,320,podcast,audio,cmp_027
CNT-00051,Blog piece #51,blog,2024-06-22,4406,187,blog,content,cmp_029
CNT-00052,Twitter piece #52,twitter,2024-11-13,7055,138,twitter,social,cmp_015
CNT-00053,Newsletter piece #53,newsletter,2024-03-15,50,1,newsletter,email,cmp_024
CNT-00054,Twitter piece #54,twitter,2024-05-31,16149,680,,social,
CNT-00055,Youtube piece #55,youtube,2025-03-11,54483,2407,youtube,video,
CNT-00056,Youtube piece #56,youtube,2025-04-12,92821,1386,youtube,video,cmp_021
CNT-00057,Podcast piece #57,podcast,2024-11-20,33038,1316,podcast,audio,cmp_027
CNT-00058,Twitter piece #58,twitter,2025-05-01,7315,229,twitter,social,
CNT-00059,Instagram piece #59,instagram,2025-06-17,12284,379,instagram,social,cmp_010
CNT-00060,Instagram piece #60,instagram,2024-03-23,22943,348,instagram,social,
CNT-00061,Blog piece #61,blog,2024-08-07,9387,339,blog,content,cmp_014
CNT-00062,Newsletter piece #62,newsletter,2024-01-21,9928,521,newsletter,email,cmp_008
CNT-00063,Instagram piece #63,instagram,2024-11-01,22564,1299,instagram,social,
CNT-00064,Podcast piece #64,podcast,2024-08-13,50,1,podcast,audio,cmp_027
CNT-00065,Instagram piece #65,instagram,2025-02-18,17914,999,instagram,social,cmp_013
CNT-00066,Podcast piece #66,podcast,2024-01-28,50,0,podcast,audio,
CNT-00067,Twitter piece #67,twitter,2024-02-21,11591,366,twitter,social,
CNT-00068,Instagram piece #68,instagram,2025-03-07,33731,712,instagram,social,cmp_022
CNT-00069,Youtube piece #69,youtube,2024-12-24,46641,2694,,video,cmp_011
CNT-00070,Twitter piece #70,twitter,2024-01-21,14679,591,twitter,social,cmp_002
CNT-00071,Podcast piece #71,podcast,2024-08-11,8241,224,podcast,audio,
CNT-00072,Blog piece #72,blog,2024-04-27,6603,319,blog,content,cmp_016
CNT-00073,Youtube piece #73,youtube,2024-11-15,50,1,youtube,video,cmp_021
CNT-00074,Blog piece #74,blog,2024-09-05,2394,31,blog,content,
CNT-00075,Podcast piece #75,podcast,2024-05-03,18329,185,podcast,audio,
CNT-00076,Youtube piece #76,youtube,2025-06-02,11578,482,,video,cmp_018
CNT-00077,Youtube piece #77,youtube,2025-03-19,82205,4200,youtube,video,cmp_028
CNT-00078,Podcast piece #78,podcast,2024-10-03,11881,475,podcast,audio,
CNT-00079,Newsletter piece #79,newsletter,2025-03-22,10946,271,newsletter,email,
CNT-00080,Instagram piece #80,instagram,2025-04-06,6278,129,instagram,social,
CNT-00081,Newsletter piece #81,newsletter,2024-12-10,17213,300,newsletter,email,
CNT-00082,Instagram piece #82,instagram,2024-10-13,26619,1431,instagram,social,cmp_007
CNT-00083,Podcast piece #83,podcast,2024-07-14,27333,913,podcast,audio,
CNT-00084,Blog piece #84,blog,2025-05-17,8943,279,,content,cmp_014
CNT-00085,Blog piece #85,blog,2024-09-06,4356,142,blog,content,cmp_020
CNT-00086,Podcast piece #86,podcast,2024-12-04,26146,687,podcast,audio,cmp_023
CNT-00087,Youtube piece #87,youtube,2024-07-16,27186,1561,youtube,video,cmp_028
CNT-00088,Newsletter piece #88,newsletter,2024-10-10,15249,696,newsletter,email,cmp_024
CNT-00089,Youtube piece #89,youtube,2024-07-17,37680,893,youtube,video,cmp_004
CNT-00090,Youtube piece #90,youtube,2024-10-26,69476,3075,youtube,video,
CNT-00091,Newsletter piece #91,newsletter,2024-04-15,12370,400,newsletter,email,cmp_008
CNT-00092,Instagram piece #92,instagram,2025-05-04,9631,134,,social,cmp_022
CNT-00093,Blog piece #93,blog,2024-02-24,9805,562,blog,content,cmp_016
CNT-00094,Newsletter piece #94,newsletter,2024-08-19,15145,732,newsletter,email,
CNT-00095,Instagram piece #95,instagram,2025-03-15,15729,624,instagram,social,
CNT-00096,Twitter piece #96,twitter,2024-08-04,21428,466,twitter,social,cmp_025
CNT-00097,Youtube piece #97,youtube,2024-06-09,74542,2898,youtube,video,cmp_028
CNT-00098,Instagram piece #98,instagram,2025-04-09,22242,260,instagram,social,cmp_022
CNT-00099,Blog piece #99,blog,2024-07-21,1975,82,blog,content,
CNT-00100,Youtube piece #100,youtube,2024-03-02,60347,1003,youtube,video,
CNT-00101,Podcast piece #101,podcast,2024-10-22,5608,133,podcast,audio,cmp_027
CNT-00102,Newsletter piece #102,newsletter,2024-03-23,10013,391,newsletter,email,
CNT-00103,Podcast piece #103,podcast,2024-09-13,21404,921,podcast,audio,
CNT-00104,Youtube piece #104,youtube,2024-10-02,48150,1828,youtube,video,cmp_021
CNT-00105,Blog piece #105,blog,2025-03-28,7968,306,blog,content,cmp_001
CNT-00106,Newsletter piece #106,newsletter,2024-12-22,6471,189,newsletter,email,cmp_008
CNT-00107,Instagram piece #107,instagram,2025-02-25,18227,1041,instagram,social,
CNT-00108,Newsletter piece #108,newsletter,2024-03-31,4287,104,newsletter,email,
CNT-00109,Newsletter piece #109,newsletter,2025-06-10,8104,431,newsletter,email,cmp_030
CNT-00110,Instagram piece #110,instagram,2025-05-25,21435,868,instagram,social,cmp_022
CNT-00111,Twitter piece #111,twitter,2024-10-21,1686,24,twitter,social,
CNT-00112,Twitter piece #112,twitter,2024-06-11,16225,391,,social,cmp_015
CNT-00113,Youtube piece #113,youtube,2025-04-17,81863,1310,youtube,video,cmp_028
CNT-00114,Instagram piece #114,instagram,2025-03-01,15773,810,instagram,social,cmp_022
CNT-00115,Twitter piece #115,twitter,2025-01-27,15550,727,twitter,social,cmp_019
CNT-00116,Instagram piece #116,instagram,2025-06-03,38625,845,,social,
CNT-00117,Podcast piece #117,podcast,2025-05-16,21485,712,podcast,audio,
CNT-00118,Newsletter piece #118,newsletter,2025-04-11,4089,231,newsletter,email,
CNT-00119,Twitter piece #119,twitter,2025-01-27,13283,136,twitter,social,
CNT-00120,Newsletter piece #120,newsletter,2025-01-30,16253,965,newsletter,email,
CNT-00121,Twitter piece #121,twitter,2025-05-22,15649,910,twitter,social,cmp_019
CNT-00122,Youtube piece #122,youtube,2025-06-22,41924,2320,,video,cmp_028
CNT-00123,Twitter piece #123,twitter,2024-03-17,50,1,twitter,social,
CNT-00124,Instagram piece #124,instagram,2025-06-30,28635,794,instagram,social,
CNT-00125,Newsletter piece #125,newsletter,2024-02-06,5402,235,newsletter,email,cmp_008
CNT-00126,Newsletter piece #126,newsletter,2024-04-10,5637,267,newsletter,email,cmp_008
CNT-00127,Blog piece #127,blog,2024-11-02,6907,341,blog,content,cmp_003
CNT-00128,Twitter piece #128,twitter,2025-06-27,10740,316,twitter,social,cmp_015
