user_id,company_id,revenue_month,revenue_amount,revenue_type
USR-000001,CTC-003,2024-07,166.91,one_time
USR-000002,CTC-001,2025-01,132.35,one_time
USR-000003,CTC-001,2024-12,138.57,recurring
USR-000003,CTC-001,2025-01,93.18,recurring
USR-000003,CTC-001,2025-02,146.42,recurring
USR-000003,CTC-001,2025-03,131.36,recurring
USR-000003,CTC-001,2025-04,152.74,recurring
USR-000003,CTC-001,2025-05,150.37,recurring
USR-000003,CTC-001,2025-06,152.34,recurring
USR-000003,CTC-001,2025-07,118.36,recurring
USR-000003,CTC-001,2025-08,134.93,recurring
USR-000003,CTC-001,2025-09,94.53,recurring
USR-000003,CTC-001,2025-10,139.47,recurring
USR-000003,CTC-001,2025-11,137.45,recurring
USR-000004,CTC-004,2024-08,130.27,recurring
USR-000004,CTC-004,2024-09,141.74,recurring
USR-000004,CTC-004,2024-10,112.98,recurring
USR-000004,CTC-004,2024-11,92.74,recurring
USR-000004,CTC-004,2024-12,123.79,recurring
USR-000004,CTC-004,2025-01,162.03,recurring
USR-000005,CTC-001,2025-05,119.8,recurring
USR-000005,CTC-001,2025-06,108.96,recurring
USR-000006,CTC-004,2024-11,172.98,one_time
USR-000007,CTC-002,2025-05,118.41,recurring
USR-000007,CTC-002,2025-06,82.67,recurring
USR-000007,CTC-002,2025-07,79.68,recurring
USR-000007,CTC-002,2025-08,105.74,recurring
USR-000007,CTC-002,2025-09,107.26,recurring
USR-000007,CTC-002,2025-10,98.63,recurring
USR-000007,CTC-002,2025-11,56.53,recurring
USR-000007,CTC-002,2025-12,96.49,recurring
USR-000007,CTC-002,2026-01,75.11,recurring
USR-000007,CTC-002,2026-02,61.1,recurring
USR-000007,CTC-002,2026-03,46.44,recurring
USR-000007,CTC-002,2026-04,58.48,recurring
USR-000007,CTC-002,2026-05,77.8,recurring
USR-000007,CTC-002,2026-06,78.92,recurring
USR-000008,CTC-003,2024-02,283.52,one_time
USR-000009,CTC-003,2025-05,281.8,one_time
USR-000010,CTC-003,2024-03,112.8,recurring
USR-000010,CTC-003,2024-04,249.55,recurring
USR-000010,CTC-003,2024-05,191.98,recurring
USR-000010,CTC-003,2024-06,235.41,recurring
USR-000011,CTC-001,2024-02,99.26,recurring
USR-000011,CTC-001,2024-03,136.72,recurring
USR-000011,CTC-001,2024-04,111.29,recurring
USR-000011,CTC-001,2024-05,51.56,recurring
USR-000011,CTC-001,2024-06,121.99,recurring
USR-000011,CTC-001,2024-07,104.55,recurring
USR-000011,CTC-001,2024-08,92.0,recurring
USR-000012,CTC-004,2024-05,165.01,one_time
